Name,DOB,Match_ID,inning,Batting_Team,Bowling_Team,over,Ball
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,1
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,1
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,2
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,2
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,3
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,3
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,4
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,4
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,5
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,5
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,6
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,6
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,1
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,1
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,2
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,2
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,3
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,3
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,4
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,4
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,5
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,5
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,6
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,6
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,7
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,7
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,8
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,8
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,1
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,1
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,2
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,2
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,3
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,3
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,4
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,4
"BCJ Cutting",30-Jan-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,5
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,5
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,6
"TS Mills",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,6
"BCJ Cutting",30-Jan-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,1
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,1
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,2
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,2
"BCJ Cutting",30-Jan-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,3
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,3
"BCJ Cutting",30-Jan-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,4
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,4
"BCJ Cutting",30-Jan-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,5
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,5
"BCJ Cutting",30-Jan-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,6
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,6
"A Nehra",29-Apr-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,1
"CH Gayle",21-Sep-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,1
"A Nehra",29-Apr-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,2
"Mandeep Singh",18-Dec-91,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,2
"A Nehra",29-Apr-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,3
"Mandeep Singh",18-Dec-91,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,3
"A Nehra",29-Apr-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,4
"Mandeep Singh",18-Dec-91,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,4
"A Nehra",29-Apr-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,5
"Mandeep Singh",18-Dec-91,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,5
"A Nehra",29-Apr-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,6
"Mandeep Singh",18-Dec-91,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,6
"B Kumar",5-Feb-90,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,1
"CH Gayle",21-Sep-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,1
"B Kumar",5-Feb-90,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,2
"CH Gayle",21-Sep-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,2
"B Kumar",5-Feb-90,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,3
"CH Gayle",21-Sep-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,3
"B Kumar",5-Feb-90,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,4
"Mandeep Singh",18-Dec-91,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,4
"B Kumar",5-Feb-90,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,5
"Mandeep Singh",18-Dec-91,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,5
"B Kumar",5-Feb-90,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,6
"Mandeep Singh",18-Dec-91,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,6
"A Nehra",29-Apr-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",3,1
"CH Gayle",21-Sep-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",3,1
"A Nehra",29-Apr-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",3,2
"CH Gayle",21-Sep-79,1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",3,2
