MatchID,inning,batting_team,bowling_team,over,Ball
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",4,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",4,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",4,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",3,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",3,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",3,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",3,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",3,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",3,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,7
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,7
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,1
2,2,"Rising Pune Supergiant","Mumbai Indians",20,5
2,2,"Rising Pune Supergiant","Mumbai Indians",20,4
2,2,"Rising Pune Supergiant","Mumbai Indians",20,3
2,2,"Rising Pune Supergiant","Mumbai Indians",20,2
2,2,"Rising Pune Supergiant","Mumbai Indians",20,1
2,2,"Rising Pune Supergiant","Mumbai Indians",19,6
2,2,"Rising Pune Supergiant","Mumbai Indians",19,5
2,2,"Rising Pune Supergiant","Mumbai Indians",19,4
2,2,"Rising Pune Supergiant","Mumbai Indians",19,3
2,2,"Rising Pune Supergiant","Mumbai Indians",19,2
2,2,"Rising Pune Supergiant","Mumbai Indians",19,1
2,2,"Rising Pune Supergiant","Mumbai Indians",18,6
2,2,"Rising Pune Supergiant","Mumbai Indians",18,5
2,2,"Rising Pune Supergiant","Mumbai Indians",18,4
2,2,"Rising Pune Supergiant","Mumbai Indians",18,3
2,2,"Rising Pune Supergiant","Mumbai Indians",18,2
2,2,"Rising Pune Supergiant","Mumbai Indians",18,1
2,2,"Rising Pune Supergiant","Mumbai Indians",17,6
2,2,"Rising Pune Supergiant","Mumbai Indians",17,5
2,2,"Rising Pune Supergiant","Mumbai Indians",17,4
2,2,"Rising Pune Supergiant","Mumbai Indians",17,3
2,2,"Rising Pune Supergiant","Mumbai Indians",17,2
2,2,"Rising Pune Supergiant","Mumbai Indians",17,1
